doi	run	name	contributors	notes	reference	lab	cognitive_atlas_concept_id	cognitive_atlas_concept	tag	cognitive_atlas_task_id
	experiment.js,style.css		Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	Condition indicates cue/target trial type: AX, BX, AY, BY	http://www.pnas.org/content/suppl/2009/04/20/0808187106.DCSupplemental/0808187106SI.pdf#nameddest=STXT	Poldracklab	trm_4aae62e4ad209	cognitive control	ax-cpt	
	experiment.js,style.css		Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack			Poldracklab	trm_4aae62e4ad209	cognitive control	flanker	
	experiment.js,style.css	Go-Nogo Task	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack			Poldracklab	trm_4aae62e4ad209	cognitive control	go-nogo	
	experiment.js,style.css,static/js/jspsych/plugins/jspsych-call-function.js	Impaired extra-dimensional shift performance in medicated and unmedicated Parkinson's disease: evidence for a specific attentional dysfunction	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	Condition indicates stage in the IDED task	http://www.sciencedirect.com/science/article/pii/0028393289901280	Poldracklab	trm_4aae62e4ad209	cognitive control		
10.1016/j.neuron.2011.02.027	experiment.js,style.css,static/js/jspsych/plugins/jspsych-call-function.js	Model-Based Influences on Humans' Choices and Striatal Prediction Errors	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	Condition = ordered stims in stage 1 and stage 2 (so [0, 1] or [1, 0] for stage 1 and [2, 3], [4, 5] etc. for stage 2 and FB for the FB condition (1 for reward, 0 for no reward)	http://www.sciencedirect.com/science/article/pii/S0896627311001255	Poldracklab	trm_4aae62e4ad209	cognitive control	2-stage-decision	
	experiment.js,jspsych-stop-signal.js,static/js/jspsych/plugins/jspsych-call-function.js		Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	Condition refers to whether the trial is practice or high_freq/low_freq (the two test conditions) as well as whether it was a go or SS trial	http://www.pnas.org/content/suppl/2009/04/20/0808187106.DCSupplemental/0808187106SI.pdf#nameddest=STXT	Poldracklab	trm_4aae62e4ad209	cognitive control	stop-signal	
	experiment.js,static/js/jspsych/custom_plugins/jspsych-categorize-audio.js,static/js/jspsych/plugins/jspsych-single-audio.js,static/js/jspsych/plugins/jspsych-call-function.js		Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	condition indicates practice/test, trial_id indicates stimulus heard on each trial. Correct response is determined by repetitions since last response and is not calculated in this script (calculate in post)	http://www.sciencedirect.com/science/article/pii/S001002859990734X	Poldracklab	trm_4aae62e4ad209	cognitive control	tone-monitoring	
	experiment.js,style.css		Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	Conditions refers to congruency on each trial	http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0057410	Poldracklab	trm_4aae62e4ad209	cognitive control	stroop	
	experiment.js,static/js/jspsych/plugins/jspsych-call-function.js	Cognitive control and brain resources in major depression: An fMRI study using the n-back task	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	This task differs in that the subject only has to respond on target trials, rather than indicating whether the current trial is a match or not. Condition records the n for that block of trials. The second reference is not explicitly used.	http://www.sciencedirect.com/science/article/pii/S1053811905001424,http://www.pnas.org/content/105/19/6829.full	Poldracklab	trm_4aae62e4ad209	cognitive control	adaptive-n-back	
	experiment.js,style.css	Cognitive Control Predicts Use of Model-based Reinforcement learning	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	Condition indicates cue/target trial type: AX, BX, AY, BY	http://www.cns.nyu.edu/~rotto/jocn_in_press.pdf	Poldracklab	trm_4aae62e4ad209	cognitive control	dpx	
	experiment.js		Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	Condition records difficulty as quantified by the sequence length	http://www.sciencedirect.com/science/article/pii/S001002859990734X	Poldracklab	trm_4aae62e4ad209	cognitive control	letter-memory	
	experiment.js,style.css		Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack			Poldracklab	trm_4aae62e4ad209	cognitive control	local-global	
	experiment.js,style.css,static/js/jspsych/plugins/jspsych-call-function.js	Decision Making and Learning While Taking Sequential Risks	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack		http://www.ncbi.nlm.nih.gov/pubmed/18194061	Poldracklab	trm_4aae62e4ad209	cognitive control	art	
	experiment.js,style.css,static/js/jspsych/plugins/jspsych-call-function.js		Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	condition indicates practice/test, trial_id indicates stimulus shown on each trial. Correct response is determined by repetitions since last response and is not calculated in experiment.js (calculate in post)	http://www.sciencedirect.com/science/article/pii/S001002859990734X	Poldracklab	trm_4aae62e4ad209	cognitive control	image-monitoring	
	experiment.js,style.css		Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack			Poldracklab	trm_4aae62e4ad209	cognitive control	simple-rt	
10.1162/089892902317361886	experiment.js,style.css,jspsych-ANT-practice.js	Testing the efficiency and independence of attentional networks.	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack			Poldracklab	trm_4aae62e4ad209	cognitive control	ant	
	experiment.js,style.css		Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	Condition indicates difficulty as quantified by the 'target length': the number of categories the subject had to remember	http://www.sciencedirect.com/science/article/pii/S001002859990734X	Poldracklab	trm_4aae62e4ad209	cognitive control	keep-track	
	experiment.js,style.css		Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack			Poldracklab	trm_4aae62e4ad209	cognitive control	simon	
	experiment.js,style.css		Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack			Poldracklab	trm_4aae62e4ad209	cognitive control	choice-rt	
	experiment.js,style.css		Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack		http://www.nature.com/neuro/journal/v10/n9/pdf/nn1954.pdf	Poldracklab	trm_4aae62e4ad209	cognitive control	volatile-bandit	
	experiment.js	Cognitive control and brain resources in major depression: An fMRI study using the n-back task	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	This task differs in that the subject only has to respond on target trials, rather than indicating whether the current trial is  a match or not	http://www.sciencedirect.com/science/article/pii/S1053811905001424	Poldracklab	trm_4aae62e4ad209	cognitive control	n-back	
	experiment.js,style.css,static/js/jspsych/custom_plugins/jspsych-multi-button.js		Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack		http://www.sciencedirect.com/science/article/pii/S1053811905001424	Poldracklab	trm_4aae62e4ad209	cognitive control	rng	
	experiment.js,style.css		Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	condition indicates block (which task, or rotateswitch block) and trial_id indicates stimulus position	http://www.sciencedirect.com/science/article/pii/S001002859990734X	Poldracklab	trm_4aae62e4ad209	cognitive control	number-letter	
	experiment.js,style.css	The Multi-Source Interference Task: validation study with fMRI in individual subjects	Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	Condition records current block (practice/test control/interference), trial_id records stimulus ID (where the target is: left, middle or right) and whether the target is large or small		Poldracklab	trm_4aae62e4ad209	cognitive control	multi-source	
	experiment.js		Ian Eisenberg,Zeynep Enkavi,Patrick Bissett,Vanessa Sochat,Russell Poldrack	Condition indicates block task (add, subtract, alternate)	http://www.sciencedirect.com/science/article/pii/S001002859990734X	Poldracklab	trm_4aae62e4ad209	cognitive control	plus-minus	
